dim_site_id,dim_source,dim_load_date,site_name,on_sitehousing,createdon,updatedon,verificationlevel,visiting_country,visiting_region,is_certification_scope
A690B1DADB790B205B43D2BA2E614457,RACP,09/09/22 12:26:00,Site 948596,,04/21/22 21:17:00,06/06/22 15:29:00,B-Low,Colombia,Latin America,TRUE
A6BD9A57CE2B985B01BAF9E565ADA3FE,RACP,09/09/22 12:26:00,Site 328399,No,01/01/00 00:00:00,08/10/22 08:54:00,,Viet Nam,Asia and Pacific,TRUE
A6D6D22A5785DA26B54E487EFA9F2162,RACP,09/09/22 12:26:00,Site 670353,,05/06/22 13:11:00,06/09/22 15:44:00,A-Very Low,Germany,Europe,TRUE
A6F5F7DBABFE8A3FAF97638BF30F0B93,RACP,09/09/22 12:26:00,Site 193590,No,04/21/22 08:10:00,01/28/22 05:16:00,Not Applicable,India,Asia and Pacific,TRUE
A7040B03781630AE4D79094671053065,RACP,09/09/22 12:26:00,Site 338396,No,01/01/00 00:00:00,08/05/22 22:17:00,,Guatemala,Latin America,TRUE
A727F73C17053FF614BD787A759F64D7,RACP,09/09/22 12:26:00,Site 714386,No,05/11/22 14:12:00,06/06/22 18:20:00,C-Medium,Italy,Europe,TRUE
A75AD9A87137C8A326750ED7B8B6CD5F,RACP,09/09/22 12:26:00,Site 540717,No,04/21/22 08:06:00,03/24/22 15:52:00,B-Low,United States of America (the),North America,TRUE
A764C2667BDF9C08AB6B1AEE31C9D624,RACP,09/09/22 12:26:00,Site 415847,No,01/01/00 00:00:00,06/21/22 06:55:00,,Kenya,Africa,TRUE
A76714FA2F77B813BF98FE6F4A5C37A2,RACP,09/09/22 12:26:00,Site 042057,Yes,01/01/00 00:00:00,08/12/22 13:59:00,,Dominican Republic (the),Latin America,TRUE
A788EBBA98F9658FE5A0DAACFF2984CA,RACP,09/09/22 12:26:00,Site 441734,Yes,04/21/22 08:10:00,02/28/22 06:05:00,Not Applicable,China,Asia and Pacific,TRUE
A79090F9F10A89B0ABB50BA441D24247,RACP,09/09/22 12:26:00,Site 899714,,06/23/22 15:01:00,07/07/22 20:00:00,D-High,Italy,Europe,TRUE
A79DF7D820A234A1845B3A578A048BF6,RACP,09/09/22 12:26:00,Site 907829,No,01/01/00 00:00:00,07/21/22 11:06:00,,India,Asia and Pacific,TRUE
A80232CB64477BF3F444D82122CC6A5B,RACP,09/09/22 12:26:00,Site 410709,,06/21/22 20:07:00,06/21/22 20:21:00,Not Applicable,Ethiopia,Africa,TRUE
A8455E7583534695BAE67044DB822762,RACP,09/09/22 12:26:00,Site 882532,No,04/21/22 08:10:00,02/28/22 06:05:00,Not Applicable,China,Asia and Pacific,TRUE
A85288C97D77AE6C63239D79517B5A16,RACP,09/09/22 12:26:00,Site 555512,Yes,01/01/00 00:00:00,08/24/22 05:03:00,Not Applicable,Indonesia,Asia and Pacific,TRUE
A86ABA89ABB165DF2B783C30E42DCB66,RACP,09/09/22 12:26:00,Site 597999,Yes,04/21/22 08:06:00,03/01/22 10:58:00,Not Applicable,Malawi,Africa,TRUE
A8A569F4475C76496396E09360D68EC2,RACP,09/09/22 12:26:00,Site 758202,No,04/21/22 08:11:00,01/01/00 00:00:00,D-High,Hungary,Europe,TRUE
A8C2971B3D5DBB8E7EBCBE06C93D0C1E,RACP,09/09/22 12:26:00,Site 030309,No,04/21/22 08:06:00,03/11/22 18:55:00,B-Low,Canada,North America,TRUE
A8F217FBEE00E3580EBBA692A4006528,RACP,09/09/22 12:26:00,Site 958855,,09/08/22 23:56:00,09/09/22 00:04:00,Needs Manual Review,United States of America (the),North America,TRUE
A9158B3440F86D5B18626E7C9D4B833B,RACP,09/09/22 12:26:00,Site 715537,Yes,01/01/00 00:00:00,05/05/22 08:48:00,,China,Asia and Pacific,TRUE
A92CF2A5423E8C8F6EBA659E5C66542E,RACP,09/09/22 12:26:00,Site 338396,No,01/01/00 00:00:00,08/05/22 22:16:00,,Guatemala,Latin America,TRUE
A92E70179F0203C03DF2D6438FEC2AE3,RACP,09/09/22 12:26:00,Site 874275,No,04/21/22 08:05:00,01/01/00 00:00:00,,Australia,Asia and Pacific,FALSE
A96FA8923284C641E72DCF7108977D9C,RACP,09/09/22 12:26:00,Site 847217,No,06/22/22 15:19:00,06/22/22 15:43:00,C-Medium,Germany,Europe,TRUE
A9AA91E0D243F06C05AAE32B5F800D33,RACP,09/09/22 12:26:00,Site 930983,No,01/01/00 00:00:00,06/06/22 08:49:00,Not Applicable,Kenya,Africa,TRUE
A9B89A426DC0DFABDFEF33FC2653B958,RACP,09/09/22 12:26:00,Site 718637,Yes,04/21/22 08:10:00,02/28/22 06:05:00,Not Applicable,China,Asia and Pacific,TRUE
A9BEF55152C232163F0072DAC8E2A22B,RACP,09/09/22 12:26:00,Site 545497,No,04/21/22 08:05:00,04/08/22 13:39:00,B-Low,Colombia,Latin America,TRUE
AA0CE0B2BFB40977CA82DFF156EBE72A,RACP,09/09/22 12:26:00,Site 162084,No,04/21/22 08:05:00,04/08/22 13:36:00,B-Low,Colombia,Latin America,TRUE
AA55F94E23D1747AC1763BCA3F509F3F,RACP,09/09/22 12:26:00,Site 291694,,05/17/22 20:33:00,05/17/22 20:40:00,D-High,Australia,Asia and Pacific,TRUE
AA66F4C568DD10D576CB11113175B579,RACP,09/09/22 12:26:00,Site 041156,No,08/24/22 14:00:00,08/24/22 14:00:00,,Sri Lanka,Asia and Pacific,TRUE
AAA367B735F7864903B0C3A2E708BAA2,RACP,09/09/22 12:26:00,Site 883946,No,01/01/00 00:00:00,06/07/22 17:51:00,Needs Manual Review,Brazil,Latin America,TRUE
AAA74970DE07DF802BE1121BCDFC155C,RACP,09/09/22 12:26:00,Site 445841,No,04/21/22 08:12:00,01/01/00 00:00:00,Not Applicable,Ghana,Africa,TRUE
AAC3D17925CC21C8E086455A14E0EF35,RACP,09/09/22 12:26:00,Site 127868,,01/01/00 00:00:00,06/17/22 16:29:00,,Ghana,Africa,TRUE
AAD0CC8ADD5AF262404959274B595D6B,RACP,09/09/22 12:26:00,Site 308400,No,01/01/00 00:00:00,05/20/22 21:40:00,,Nicaragua,Latin America,TRUE
AAE0622636AC6FD1B15589D8397FF894,RACP,09/09/22 12:26:00,Site 406917,No,01/01/00 00:00:00,05/12/22 08:46:00,Not Applicable,Turkey,Asia and Pacific,TRUE
AB27E275E3234F0AD69638684D2B7144,RACP,09/09/22 12:26:00,Site 410886,No,07/12/22 17:29:00,07/12/22 20:39:00,Not Applicable,Colombia,Latin America,TRUE
AB457E7F8A07439D0824DD8BD5DB2B14,RACP,09/09/22 12:26:00,Site 313633,No,04/21/22 08:08:00,01/06/22 20:41:00,B-Low,Ghana,Africa,TRUE
AB4D136DB9FBFC53D49F6B34E4E12821,RACP,09/09/22 12:26:00,Site 708671,No,01/01/00 00:00:00,05/23/22 17:57:00,Needs Manual Review,Brazil,Latin America,TRUE
AB587613066FCF219277C761E07B6FE7,RACP,09/09/22 12:26:00,Site 106943,,08/05/22 17:55:00,08/05/22 20:39:00,Not Applicable,Costa Rica,Latin America,TRUE
ABB6359F375191CF1F069DA0CF436A2F,RACP,09/09/22 12:26:00,Site 729659,Yes,01/01/00 00:00:00,07/28/22 07:39:00,Not Applicable,Guatemala,Latin America,TRUE
ABD9EDB3D70900920F7F2436A97A51A8,RACP,09/09/22 12:26:00,Site 247464,No,04/21/22 08:06:00,03/15/22 13:21:00,Not Applicable,India,Asia and Pacific,TRUE
ABED5649A36E57E0E44ADC34CA20DD3C,RACP,09/09/22 12:26:00,Site 980313,No,01/01/00 00:00:00,08/18/22 06:53:00,,India,Asia and Pacific,TRUE
ABFAF9CB2B7C2601B739B25E0F5887C3,RACP,09/09/22 12:26:00,Site 780422,,08/05/22 18:12:00,08/05/22 20:39:00,Not Applicable,Costa Rica,Latin America,TRUE
AC17964723E06780DC131452F7D89779,RACP,09/09/22 12:26:00,Site 966637,No,08/10/22 11:27:00,08/10/22 11:28:00,Not Applicable,Turkey,Asia and Pacific,TRUE
AC1A89E9E1D43690BD968C8946BBAA68,RACP,09/09/22 12:26:00,Site 680017,,08/05/22 18:14:00,08/05/22 20:39:00,Not Applicable,Costa Rica,Latin America,TRUE
AC1CB695FA60C6BAB330835C7D300F17,RACP,09/09/22 12:26:00,Site 384243,No,04/21/22 08:09:00,01/05/22 21:06:00,E-Very High,Brazil,Latin America,TRUE
AC5053975DA428C4163AB77DFC1B9DB2,RACP,09/09/22 12:26:00,Site 372606,,06/29/22 20:11:00,06/29/22 20:14:00,Not Applicable,Colombia,Latin America,TRUE
AC50823BFBF4D4EF612E662AFDDBDE44,RACP,09/09/22 12:26:00,Site 793043,,06/18/22 07:44:00,06/20/22 13:34:00,Not Applicable,Uganda,Africa,TRUE
AC513E0A3C3CF8C213C175F6FAAA8161,RACP,09/09/22 12:26:00,Site 142139,No,04/21/22 08:07:00,04/07/22 06:00:00,Not Applicable,India,Asia and Pacific,TRUE
AC7A6AF3851948A2AFB56868F15318C6,RACP,09/09/22 12:26:00,Site 388215,No,01/01/00 00:00:00,05/23/22 19:47:00,To Be Determined,Brazil,Latin America,TRUE
ACA123F8688812B75ABD7731F1FCAB8A,RACP,09/09/22 12:26:00,Site 659129,Yes,08/31/22 15:11:00,08/31/22 15:12:00,Not Applicable,El Salvador,Latin America,TRUE
ACA7D36AA2BC636A91D40843AC1E0E04,RACP,09/09/22 12:26:00,Site 084760,No,01/01/00 00:00:00,07/19/22 17:17:00,,Guatemala,Latin America,TRUE
ACCA94523B2BF23F19D914CA8691D7D3,RACP,09/09/22 12:26:00,Site 331517,No,04/21/22 08:09:00,11/02/21 10:29:00,Not Applicable,Sri Lanka,Asia and Pacific,TRUE
ACDB87F8EE8D4F1CA0DE65B6D3110C58,RACP,09/09/22 12:26:00,Site 513683,Yes,01/01/00 00:00:00,06/27/22 04:48:00,Not Applicable,India,Asia and Pacific,TRUE
ACE592B22DA18A3DB2343D20825246F1,RACP,09/09/22 12:26:00,Site 910201,No,01/01/00 00:00:00,08/17/22 20:22:00,To Be Determined,Costa Rica,Latin America,TRUE
AD34E0E7292D8F5EE510C274556B346B,RACP,09/09/22 12:26:00,Site 719289,No,04/21/22 08:05:00,04/08/22 13:57:00,B-Low,Colombia,Latin America,TRUE
AD5CB51B9EAB59632C8803A580BE3613,RACP,09/09/22 12:26:00,Site 772138,No,04/21/22 08:09:00,11/09/21 21:20:00,Not Applicable,Colombia,Latin America,TRUE
AD7601AAD0BAF81DF3653E915DD4F76C,RACP,09/09/22 12:26:00,Site 420448,No,01/01/00 00:00:00,08/05/22 22:16:00,,Panama,Latin America,TRUE
AD8FB9BFA96D879CDD2D1285D1BB1CDB,RACP,09/09/22 12:26:00,Site 927067,No,04/21/22 08:08:00,01/13/22 15:09:00,B-Low,Brazil,Latin America,TRUE
ADA3E3DF71FBFB6CD4DA26BF8EC16DA6,RACP,09/09/22 12:26:00,Site 185356,No,04/21/22 08:10:00,01/01/00 00:00:00,Not Applicable,India,Asia and Pacific,TRUE
ADA8FA9037AEF7859879DF2EC1949738,RACP,09/09/22 12:26:00,Site 178812,,06/18/22 12:01:00,06/20/22 13:34:00,Not Applicable,Uganda,Africa,TRUE
ADB4EEA7F9D98B4FF1EE00269816F566,RACP,09/09/22 12:26:00,Site 683502,No,04/21/22 08:11:00,01/01/00 00:00:00,Not Applicable,India,Asia and Pacific,TRUE
AE099CA1E9FBADB50C5BE3AD1DE21130,RACP,09/09/22 12:26:00,Site 616022,No,04/21/22 08:05:00,01/01/00 00:00:00,,Netherlands (the),Europe,FALSE
AE8052CBD7789D7553D5382A70699097,RACP,09/09/22 12:26:00,Site 417291,,06/23/22 15:09:00,07/07/22 20:01:00,D-High,Italy,Europe,TRUE
AF058DE6766C370559D3B12ACE3E9D02,RACP,09/09/22 12:26:00,Site 932707,No,01/01/00 00:00:00,08/08/22 07:03:00,Needs Manual Review,Ghana,Africa,TRUE
AF111EAD11618639561FE3AC944D769D,RACP,09/09/22 12:26:00,Site 627809,No,01/01/00 00:00:00,07/20/22 14:52:00,,India,Asia and Pacific,TRUE
